Treatment	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl
Sample	18	21	22	35	36	39	40	43	47	52	58	59	68	69	70	71	49	50	51	53	54	55	56	57	60	61	62	63	64	65	66	76	81	82	83	1	2	3	5	6	7	9	11	20	23	26	27	29	30	31	32	33	37	42	46	72	74	77
Bacteria	201	124	370	56	79	336	45	126	96	122	233	52	285	294	123	223	718	257	191	261	215	79	387	336	273	1569	56	154	124	145	97	223	215	111	191	67	213	187	125	223	127	169	47	81	119	206	171	154	301	226	61	182	105	166	234	122	200	142
Bacteria|Actinobacteria	131	120	7797	124	121	168	15	533	933	467	282	63	645	294	1208	420	2656	57	230	691	584	32	97	477	251	1053	181	121	801	633	386	23	403	12973	8890	303	111	77	173	153	39	210	150	34706	19	4222	358	3852	1555	16	61	32	600	6111	141	21	181	396
Bacteria|Bacteroidetes	33627	50741	85965	40341	98220	35147	14107	43800	48173	54035	38340	33038	35227	49467	29789	64885	21076	57527	67425	35713	54062	58505	62498	32815	61593	16807	22627	45712	77941	38834	72945	93146	37212	9701	19045	76546	34587	44959	41759	33261	30177	42051	1047	2167	25532	39942	64809	26646	58982	48126	27425	33313	12210	50939	80062	38644	54738	29636
Bacteria|Cyanobacteria[Melainabacteria]	0	0	0	0	0	4	1	0	475	0	177	0	0	0	0	21	185	19	116	4	13	74	397	69	138	0	70	8	12	2	691	0	0	0	19	0	2006	0	25	68	0	5	0	0	0	0	0	0	0	1229	4	0	0	0	4	1	0	1
Bacteria|Deinococcus-Thermus	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	12	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Bacteria|Euryarchaeota	0	0	0	0	0	0	0	0	0	64	187	0	2	0	0	0	1	157	6	2	0	0	246	175	89	1227	0	0	3	0	0	0	0	0	12	0	0	0	0	3	0	0	0	0	0	0	698	0	0	0	0	0	1	48	0	0	0	0
Bacteria|Firmicutes	48122	40081	20298	61203	11762	65572	6097	37151	35345	23617	42972	10022	65021	38878	70403	32911	65035	22674	27276	49118	34130	37489	43139	69943	17234	57464	59702	53546	39787	59364	17546	8910	63763	68442	48429	28550	22969	57525	65057	52208	24891	50527	23248	37753	6962	59295	24868	71485	31909	42157	87122	2741	18230	58815	25596	17689	46195	44724
Bacteria|Fusobacteria	26	33	70	21	1	11	0	3	30	0	0	0	1	0	1	7	0	0	0	19	16	1	28	0	2	13	2	2	31	0	0	2	4	4	0	1	46	1	6	22	1	0	0	115	4	94	13	1970	18	0	9	0	43	0	33	0	0	0
Bacteria|Lentisphaerae	0	1	0	0	2	0	0	0	4	10	0	0	1	0	0	0	61	41	5	2	0	0	0	0	12	771	0	0	0	2	0	0	0	0	0	3	0	97	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria	2011	2898	1127	3354	1400	10644	23	23861	1512	1580	4561	1617	519	2021	3046	809	1845	7869	1507	1313	8396	1161	4125	3545	25132	645	1318	3138	1242	2122	2404	1426	937	344	1374	858	26107	3382	467	3457	1790	261	522	498	88	3006	9407	9882	697	554	5110	1765	7636	2715	461	425	3624	2630
Bacteria|Spirochaetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Synergistetes	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0
Bacteria|Unclassified-Bacteria	15	0	109	2	12	13	0	1258	4	0	1883	0	4	6	3	0	3	82	13	5	15	2	3	195	4	4	542	2	7	4	156	0	45	0	372	0	2	0	0	97	2	33	0	13	0	10	11	1	0	4	0	0	17	0	36	0	89	0
Bacteria|Verrucomicrobia	120	8	15	1094	0	9	13	0	4800	25441	3480	552	18	11800	1278	1	25	6616	1378	186	12891	36	62	2126	2084	561	2002	598	289	10034	1244	6	0	3	1938	7	19	13	3904	9	16	1	23	1	25482	702	15	3	143	2	13	57702	6	3926	8	1675	4	9123
