Leberstatus	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy
SampleID	AIH049	AIH050	AIH051	AIH053	AIH054	AIH055	AIH056	AIH057	AIH060	AIH061	AIH062	AIH063	AIH064	AIH065	AIH066	AIH076	AIH081	AIH082	AIH083	AIH027	AIH031	AIH040	AIH046	AIH058	AIH068	AIH018	AIH023	AIH033	AIH035	AIH043	AIH047	AIH052	AIH059	AIH069	AIH071	AIH072	AIH001	AIH002	AIH003	AIH005	AIH006	AIH007	AIH009	AIH020	AIH021	AIH022	AIH026	AIH029	AIH030	AIH032	AIH036	AIH037	AIH039	AIH042	AIH070	AIH074	AIH077
Bacteria	718	257	191	261	215	79	387	336	273	1569	56	154	124	145	97	223	215	111	191	171	226	45	234	233	285	201	119	182	56	126	96	122	52	294	223	122	67	213	187	125	223	127	169	81	124	370	206	154	301	61	79	105	336	166	123	200	142
Bacteria|Actinobacteria	297	0	1	3	0	0	2	5	0	143	0	0	0	0	0	0	102	0	0	6	0	0	0	0	76	5	0	0	14	0	0	69	0	0	0	5	0	1	0	18	12	0	9	0	1	1	2	0	21	0	0	0	8	28	0	0	1
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales	62	9	13	45	21	10	6	49	77	30	12	31	62	79	17	15	40	125	20	27	6	6	14	19	60	35	12	0	26	4	8	8	27	29	18	7	96	24	5	20	11	0	1	352	77	58	16	217	9	25	17	71	59	15	21	51	13
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales	1756	7	121	327	428	2	28	407	161	291	111	32	187	366	343	2	118	12774	8666	47	0	7	57	191	231	15	6	28	9	443	146	375	27	215	269	6	105	4	26	90	70	17	156	32635	24	7711	4065	2935	1192	24	94	513	53	1838	918	53	274
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales	541	41	95	316	135	20	61	13	13	469	58	58	552	182	26	6	143	74	204	249	10	2	70	64	277	76	1	4	71	84	779	15	9	45	130	3	102	82	46	45	54	22	34	1719	18	27	135	700	333	12	10	16	48	4210	269	77	108
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales	0	0	0	0	0	0	0	3	0	120	0	0	0	6	0	0	0	0	0	29	0	0	0	8	1	0	0	0	4	2	0	0	0	5	3	0	0	0	0	0	6	0	10	0	0	0	4	0	0	0	0	0	0	20	0	0	0
Bacteria|Bacteroidetes	235	0	0	0	0	0	4	0	0	0	0	0	0	354	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	720	0	0	0	0	0	154	4	0	312	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales	20841	57527	67424	35702	54062	58503	62494	32806	61590	16807	22626	45712	77936	38476	72944	93146	37212	9698	19045	64809	48125	14104	80059	38340	35225	33627	25532	33313	40341	43800	47452	54032	33035	49466	64885	38644	76392	34580	44959	41447	33261	30177	42051	2164	50740	85965	39942	26646	58982	27421	98220	12205	35147	50939	29783	54734	29636
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales	0	0	1	11	0	2	0	9	3	0	1	0	5	4	0	0	0	2	0	0	1	1	0	0	2	0	0	0	0	0	1	1	3	1	0	0	0	3	0	0	0	0	0	3	1	0	0	0	0	1	0	5	0	0	6	4	0
