Leberstatus	1_normal	1_normal	1_normal	1_normal	1_normal	1_normal	2_fibrose	2_fibrose	2_fibrose	2_fibrose	2_fibrose	2_fibrose	2_fibrose	2_fibrose	2_fibrose	2_fibrose	2_fibrose
SampleID	AIH027	AIH031	AIH040	AIH046	AIH058	AIH068	AIH018	AIH023	AIH033	AIH035	AIH043	AIH047	AIH052	AIH059	AIH069	AIH071	AIH072
Bacteria	171	226	45	234	233	285	201	119	182	56	126	96	122	52	294	223	122
Bacteria|Actinobacteria	6	0	0	0	0	76	5	0	0	14	0	0	69	0	0	0	5
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales	0	0	0	0	0	5	0	0	0	0	3	0	0	0	1	0	0
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae	22	5	6	4	15	51	30	12	0	24	0	8	5	25	22	18	5
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Corynebacteriaceae	0	1	0	4	0	1	0	0	0	0	0	0	3	0	6	0	0
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Gordoniaceae	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micrococcaceae	4	0	0	1	4	3	5	0	0	2	1	0	0	2	0	0	2
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micromonosporaceae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Streptomycetaceae	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae	47	0	7	57	191	231	15	6	28	9	443	146	375	27	215	269	6
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae	249	10	2	70	64	277	76	1	4	71	84	779	15	9	45	130	3
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae	29	0	0	0	8	1	0	0	0	4	2	0	0	0	5	3	0
Bacteria|Bacteroidetes	0	0	2	3	0	0	0	0	0	0	0	720	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales	0	0	0	1	6	4	2	1	0	0	0	3	21	38	0	4	109
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae	5117	7748	227	2278	7484	8346	29037	25468	18663	3018	3338	14481	5418	11529	14390	20709	312
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae	2886	1012	354	187	12152	3540	483	53	2227	3593	6439	7274	13583	7482	3947	1966	4698
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae	53691	30	13233	73387	3109	16791	86	3	3	18642	24978	8822	853	4450	8696	495	7564
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae	376	39334	290	4203	15588	6544	4016	7	12420	15084	9045	16871	34157	9535	21978	41710	3434
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|[Paraprevotellaceae]	2543	0	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|unclassified-Bacteroidales	196	1	0	3	1	0	0	0	0	0	0	1	0	1	455	1	22527
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae	0	1	0	0	0	2	0	0	0	0	0	0	1	3	1	0	0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|[Weeksellaceae]	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria|Bacteroidetes|[Saprospirae]|[Saprospirales]|Chitinophagaceae	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Bacteria|Cyanobacteria[Melainabacteria]|[Melainabacteria]|[Melainabacteriales]|[Melainabacteriaceae]	0	1229	1	4	177	0	0	0	0	0	0	475	0	0	0	21	1
Bacteria|Deinococcus-Thermus|Deinococci|Deinococcales|Deinococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Euryarchaeota|Methanobacteria|Methanobacteriales|Methanobacteriaceae	698	0	0	0	187	2	0	0	0	0	0	0	64	0	0	0	0
Bacteria|Euryarchaeota|Thermoplasmata|E2|[Methanomassiliicoccaceae]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes	6	0	0	10	99	19	12	20	0	6	159	1	67	41	0	12	7
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae	5	1	0	0	0	0	1	2	0	0	0	7	7	1	6	0	2
Bacteria|Firmicutes|Bacilli|Gemellales|Gemellaceae	15	0	0	0	0	0	6	1	0	4	3	0	5	4	19	1	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Aerococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Carnobacteriaceae	0	4	9	0	1	12	70	11	5	2	4	8	8	4	160	5	1
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae	4	25	4	13	78	179	43	0	24	7	62	22	214	48	2536	15	1
Bacteria|Firmicutes|Bacilli|Lactobacillales|Leuconostocaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae	934	39	61	26	47	76	551	12	4	88	25	50	25	181	1820	50	7
Bacteria|Firmicutes|Bacilli|Lactobacillales|unclassified-Lactobacillales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales	46	234	30	1660	1208	1232	50	9	20	713	114	541	602	100	445	7847	890
Bacteria|Firmicutes|Clostridia|Clostridiales|Catabacteriaceae	0	0	1	39	18	11	4	0	0	1	0	40	21	0	0	54	13
Bacteria|Firmicutes|Clostridia|Clostridiales|Christensenellaceae	0	106	8	235	403	353	1	1	7	228	210	271	264	23	950	251	91
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae	23	715	11	1204	1474	9238	24	54	10	143	848	2298	1651	34	89	247	113
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales Family XI. Incertae Sedis	0	1	0	2	0	0	0	0	0	0	2	4	3	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales Family XIII. Incertae Sedis	28	0	0	0	2	2	7	1	0	0	0	1	1	0	8	4	2
Bacteria|Firmicutes|Clostridia|Clostridiales|Dehalobacteriaceae	15	6	0	15	75	34	1	0	0	0	0	10	50	5	0	100	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae	254	438	23	281	2197	1391	273	94	19	166	77	323	306	77	1514	371	474
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae	3202	9000	496	1944	11185	20422	3325	134	1034	5917	1313	2058	1558	627	1098	1704	152
Bacteria|Firmicutes|Clostridia|Clostridiales|Oscillospiraceae	2127	283	1368	877	6691	13849	336	2	535	11293	1606	4604	3254	1466	10458	622	1509
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptococcaceae	4	0	0	1	10	8	0	0	0	0	0	0	310	5	0	1	3
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae	15	792	26	1489	3115	3126	26	39	15	2395	6377	1331	1595	784	1155	172	5
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae	2845	9474	448	10331	8472	9215	31049	394	875	9677	5961	9301	8996	3514	9297	6248	10006
Bacteria|Firmicutes|Clostridia|Clostridiales|Unclassified_Clostridiales	3	0	1	0	0	67	0	0	0	0	0	0	0	0	13	0	1
Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|[Mogibacteriaceae]	19	1	6	1	11	44	1	0	1	8	18	110	2	3	106	0	2
Bacteria|Firmicutes|Clostridia|Clostridiales|[Tissierellaceae]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|unclassified-Clostridiales	29	26	78	805	4101	3463	114	432	73	625	998	1045	873	217	388	2976	133
Bacteria|Firmicutes|Erysipelotrichi|Erysipelotrichales|Erysipelotrichaceae	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae	159	2257	3	121	1984	368	217	9	87	2028	4466	17	1523	2231	491	1979	6
Bacteria|Firmicutes|Negativicutes|Selenomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Acidaminococcaceae	10177	1	32	31	0	9	9	0	2	870	329	12601	1	37	1145	6819	3907
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Veillonellaceae	4958	16881	3490	6503	1318	1801	12001	5745	30	26730	14485	539	2094	620	7175	3433	363
Bacteria|Firmicutes|Negativicutes|Selenomonadales|unclassified-Selenomonadales	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|unclassified|unclassified|unclassified-Firmicutes	0	1873	2	8	483	97	1	0	0	302	94	163	187	0	0	0	0
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Fusobacteriaceae	13	0	0	33	0	1	20	4	0	19	3	30	0	0	0	7	0
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0
Bacteria|Lentisphaerae|Lentisphaeria|Victivallales|Victivallaceae	0	0	0	0	0	1	0	0	0	0	0	4	10	0	0	0	0
Bacteria|Proteobacteria	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria	0	1	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae	21	4	1	25	1	4	24	4	12	27	4	25	10	8	55	7	0
Bacteria|Proteobacteria|Alphaproteobacteria|RF32|unclassified-RF32	154	1	1	2	1186	7	79	0	914	0	0	2	795	0	1	341	4
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae	4	0	0	2	0	0	4	0	1	4	1	0	0	2	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Hyphomicrobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Methylobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Xanthobacteraceae	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae	200	144	6	317	80	58	351	14	132	201	107	535	106	68	1184	177	35
Bacteria|Proteobacteria|Alphaproteobacteria|unclassified|unclassified-Alphaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Betaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
