Treatment	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl
Sample	18	21	22	35	36	39	40	43	47	52	58	59	68	69	70	71	1	2	3	5	6	7	9	11	20	23	26	27	29	30	31	32	33	37	42	46	72	74	77
Bacteria	201	124	370	56	79	336	45	126	96	122	233	52	285	294	123	223	67	213	187	125	223	127	169	47	81	119	206	171	154	301	226	61	182	105	166	234	122	200	142
Bacteria|Actinobacteria	5	1	1	14	0	8	0	0	0	69	0	0	76	0	0	0	0	1	0	18	12	0	9	0	0	0	2	6	0	21	0	0	0	0	28	0	5	0	1
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales	0	0	0	0	0	0	0	3	0	0	0	0	5	1	2	0	0	0	0	3	1	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinomyces	30	73	2	24	12	36	6	0	8	5	15	25	51	22	8	18	63	5	2	12	7	0	1	3	304	12	5	22	129	8	5	1	0	42	3	4	5	32	11
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Corynebacteriaceae|Corynebacterium	0	4	10	0	0	2	0	0	0	3	0	0	1	6	9	0	23	0	1	2	0	0	0	5	5	0	0	0	4	0	1	0	0	2	12	4	0	7	0
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Gordoniaceae|Gordonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micrococcaceae|Micrococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micrococcaceae|Rothia	5	0	45	2	5	11	0	1	0	0	4	2	3	0	2	0	10	19	1	3	3	0	0	0	43	0	7	4	84	0	0	24	0	23	0	1	2	12	2
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micromonosporaceae|Micromonospora	0	0	1	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
