"","AIH","healthy","nonAIHhepControl"
"Acinetobacter",54,93,48
"Actinomyces",329,445,603
"Akkermansia",47206,32072,101520
"Alistipes",194461,307886,190877
"Anaerofilum",37,116,33
"Anaerotruncus",154,128,93
"Atopobium",63,37,115
"Bacteroides",290249,366698,288873
"Barnesiella",46048,111452,29751
"Bifidobacterium",10700,26118,44160
"Bilophila",120,782,188
"Blautia",24441,8040,10020
"Bradyrhizobium",33,45,38
"Brevundimonas",24,49,25
"Butyricimonas",8889,11407,10921
"Candidatus_Soleaferrea",586,3028,4397
"Christensenella",1148,2237,1250
"Clostridium",8203,11948,3660
"Collinsella",1421,1965,7062
"Coprococcus",2456,6522,5346
"Dehalobacterium",177,224,34
"Dialister",74517,79287,157465
"Dorea",2147,6645,1840
"Eggerthella",15,94,133
"Erysipelatoclostridium",6646,140,396
"Eubacterium",8727,16289,10189
"Faecalibacterium",9355,14873,3892
"Fusicatenibacter",747,5898,2369
"Fusobacterium",91,20,2300
"Gemella",64,38,91
"Gemmiger",2756,40771,20094
"Granulicatella",610,374,667
"Haemophilus",14409,1216,13490
"Holdemania",64,136,24
"Intestinibacter",10788,21976,9204
"Intestinimonas",242,871,746
"Kluyvera",55,3068,3627
"Lachnoclostridium",1711,4856,5219
"Lactobacillus",3563,3617,4322
"Lactococcus",319,353,150
"Massilia",363,536,254
"Megasphaera",149,13,6210
"Odoribacter",5879,16879,5810
"Oscillibacter",63885,64269,35244
"Oscillospira",4656,3980,3878
"Parabacteroides",5552,6430,5508
"Paraprevotella",3800,2863,1705
"Parasutterella",1605,19461,2325
"Pelomonas",260,528,300
"Phascolarctobacterium",25149,40210,64446
"Phenylobacterium",319,471,323
"Prevotella",138969,15310,215680
"Pseudomonas",145,257,124
"Roseburia",23692,52432,23237
"Rothia",59,73,177
"Ruminococcus",45441,76182,47025
"Shigella",1141,853,21445
"Sphingomonas",6201,8595,4666
"Staphylococcus",47,90,59
"Streptococcus",3768,2082,30868
"Sutterella",3019,1785,10265
"Terrisporobacter",4920,8778,2777
"Turicibacter",18921,24109,4634
"Tyzzerella",970,1133,1808
"unclassified",135170,218791,212107
"Veillonella",35028,21561,212748
"NA",27626,41566,24746
