"","Pvalues","FDR","Statistics"
"OTU1337|NN=Desulfovibrio_desulfuricans_DVURRDA|D=89_2",6.2319e-06,0.0015647,23.972
"unclassified_39",1.1425e-05,0.0015647,22.759
"Clostridiales_54",1.5699e-05,0.0015647,22.124
"Lachnospiraceae_7",4.8837e-05,0.0033127,19.854
"OTU1033|NN=Ruminococcus_bromii_DQ882649|D=88",6.3889e-05,0.0033127,19.317
"OTU506|NN=Christensenella_minuta_AB490809|D=83_8",7.4133e-05,0.0033127,19.019
"Dorea_longicatena",7.7554e-05,0.0033127,18.929
"Bacteroidales_5",0.00010923,0.0040825,18.244
"Lachnoclostridium_1",0.00014341,0.0047645,17.7
"OTU916|NN=Eubacterium_siraeum_EUBRRDV|D=93_2",0.00016215,0.0048484,17.454
"Barnesiella_10",0.0001896,0.0049563,17.141
"unclassified_38",0.00019892,0.0049563,17.045
"unclassified_4",0.00027039,0.0058023,16.431
"OTU661|NN=Blautia_wexlerae_EF036467|D=94_9",0.00027168,0.0058023,16.422
"Alistipes_putredinis",0.0003561,0.0070983,15.881
"OTU169|NN=Faecalibacterium_prausnitzii_X85022|D=96_7",0.00040698,0.0076054,15.614
"Bacteria_5",0.00045523,0.0080068,15.389
"OTU902|NN=Prevotella_loescheii_AB547688|D=88_8",0.00051012,0.0084737,15.162
"OTU342|NN=Clostridium_clariflavum_NR_102987_1|D=77_3",0.00064653,0.0098137,14.688
"Parabacteroides_goldsteinii",0.00065644,0.0098137,14.657
"Dialister_pneumosintes",0.00072754,0.010359,14.452
"Turicibacter_sanguinis",0.0010187,0.013326,13.778
"OTU1335|NN=Oscillibacter_valericigenes_AB238598|D=95_6",0.0010251,0.013326,13.766
"OTU694|NN=Clostridium_clariflavum_NR_102987_1|D=85_2",0.0011059,0.013392,13.614
"OTU1339|NN=Clostridium_clariflavum_NR_102987_1|D=76_8",0.0011197,0.013392,13.589
"Faecalibacterium",0.0013661,0.01571,13.192
"Clostridiales_20",0.0015204,0.016837,12.978
"unclassified_3",0.0017929,0.019145,12.648
"Streptococcus_1",0.0019549,0.020156,12.475
"OTU1358|NN=Oscillibacter_valericigenes_AB238598|D=91_3",0.0021449,0.020972,12.289
"Clostridiales_2",0.0021744,0.020972,12.262
"OTU84|NN=Robinsoniella_peoriensis_AF445258|D=93_1",0.0026966,0.02507,11.832
"Alistipes_obesi",0.0027859,0.02507,11.766
"Alistipes_indistinctus",0.0028507,0.02507,11.72
"Eubacterium_1",0.0032563,0.026642,11.454
"Lachnospiraceae",0.0032698,0.026642,11.446
"OTU1482|NN=Veillonella_atypica_X84007|D=96_9",0.0034543,0.026642,11.336
"OTU471|NN=Clostridium_lituseburense_CLORR16SC|D=96_6",0.0034634,0.026642,11.331
"Clostridiales_1",0.003475,0.026642,11.324
"Clostridium_1",0.0035817,0.026774,11.264
"unclassified_2",0.0040299,0.028405,11.028
"OTU156|NN=Oscillibacter_valericigenes_AB238598|D=95_3_1",0.0040564,0.028405,11.015
"OTU767|NN=Anoxystipes_fissicatena_NR_104800_1|D=93_6",0.004085,0.028405,11.001
"OTU383|NN=Clostridium_populeti_X71853|D=91_5",0.0041876,0.028457,10.951
"Barnesiella_intestinihominis_1",0.0047908,0.031832,10.682
"Gemmiger",0.0051058,0.033188,10.555
"Streptococcus_anginosus",0.0055759,0.035272,10.379
"OTU119|NN=Papillibacter_cinnamivorans_AF167711|D=91_1",0.0056624,0.035272,10.348
"OTU286|NN=Ruminococcus_bromii_DQ882649|D=96_6",0.0062069,0.037875,10.164
"OTU293|NN=Clostridium_glycyrrhizinilyticum_AB233029|D=91_2",0.0067549,0.039702,9.995
"OTU1240|NN=OscillospiraClostridium_viride_X81125|D=86",0.0067718,0.039702,9.99
"Roseburia",0.0070807,0.039983,9.9008
"OTU521|NN=Papillibacter_cinnamivorans_AF167711|D=89_6",0.0070874,0.039983,9.8989
"Bacteroides_uniformis",0.0075636,0.04188,9.7688
"OTU1683|NN=Ruminococcus_bromii_DQ882649|D=90",0.0080457,0.043739,9.6452
"OTU1147|NN=Clostridium_glycolicum_AY007244|D=96_3",0.0083705,0.044297,9.5661
"OTU957|NN=Anoxystipes_fissicatena_NR_104800_1|D=93_2",0.0084445,0.044297,9.5485
"Lactococcus_lactis",0.0090564,0.046687,9.4086
