"","log2FC","lfcSE","Pvalues","FDR"
"OTU516|NN=Prevotella_copri_AB064923|D=96_6",-8.0942,0.84185,6.9256e-22,1.5306e-19
"Paraprevotella_clara",-5.7019,0.99058,8.607e-09,9.5107e-07
"OTU126|NN=Alistipes_marseilloanorexicus_JX101692|D=90_9",5.9686,1.0598,1.7816e-08,1.3124e-06
"OTU1028|NN=Ruminococcus_gnavus_JN713312|D=95_6",-6.0056,1.0813,2.7945e-08,1.544e-06
"OTU1482|NN=Veillonella_atypica_X84007|D=96_9",-4.1761,0.77851,8.1312e-08,3.594e-06
"Haemophilus_parainfluenzae",-3.8584,0.80862,1.8283e-06,6.7341e-05
"Bacteroides_plebeius",-5.3979,1.1399,2.1848e-06,6.8978e-05
"Streptococcus_infantis",-2.4543,0.56967,1.6447e-05,0.00045434
"OTU1678|NN=Veillonella_dispar_GQ422726|D=94_9",-4.8653,1.2321,7.8492e-05,0.0019274
"OTU407|NN=Soleaferrea_massiliensis_JX101688|D=87_4",3.4629,0.9121,0.00014669,0.0032418
"OTU1087|NN=Blautia_glucerasea_AB588023|D=93",2.7744,0.76702,0.00029785,0.0059841
"Alistipes_obesi",2.311,0.66146,0.00047613,0.0087688
"Streptococcus_anginosus",-3.1,0.89483,0.00053148,0.0090351
"OTU1033|NN=Ruminococcus_bromii_DQ882649|D=88",2.3489,0.69665,0.00074694,0.011791
"OTU916|NN=Eubacterium_siraeum_EUBRRDV|D=93_2",3.3609,1.0256,0.0010493,0.015459
"OTU790|NN=Barnesiella_intestinihominis_AB370251|D=84_6",-3.3303,1.0759,0.0019654,0.026224
"OTU1196|NN=Christensenella_minuta_AB490809|D=86_5",3.4671,1.1229,0.0020172,0.026224
"OTU260|NN=Clostridium_clostridioforme_AY169422|D=94_1",2.0682,0.70596,0.003393,0.041658
"OTU84|NN=Robinsoniella_peoriensis_AF445258|D=93_1",2.2411,0.80251,0.0052273,0.060802
"Fusicatenibacter_saccharivorans",1.782,0.67254,0.0080558,0.089016
"OTU561|NN=Roseburia_inulinivorans_AJ270474|D=91_4",-3.0542,1.1669,0.0088626,0.093269
"OTU1387|NN=Alistipes_timonensis_JF824799|D=96_6",1.997,0.77653,0.010119,0.10165
"Lactobacillus_salivarius",2.0838,0.81727,0.010781,0.10359
"OTU392|NN=Aggregatibacter_aphrophilus_EF605278|D=95_1",-2.7664,1.1447,0.015659,0.1442
"OTU93|NN=Ruminococcus_bromii_DQ882649|D=96_3",1.5329,0.66871,0.02189,0.19351
"OTU661|NN=Blautia_wexlerae_EF036467|D=94_9",1.2756,0.5645,0.023835,0.2026
"Phascolarctobacterium_succinatutens",-2.1886,0.97761,0.025177,0.20608
"Christensenella_minuta",-2.455,1.1099,0.02697,0.21125
"OTU1048|NN=Clostridium_populeti_X71853|D=91_9",2.6664,1.2212,0.029006,0.21125
"Bradyrhizobium_elkanii",-2.1774,0.9996,0.029386,0.21125
"Shigella_sonnei",-1.5997,0.7355,0.029632,0.21125
"Parasutterella_excrementihominis",1.7404,0.81846,0.033464,0.23111
"Brevundimonas_vesicularis",-1.5061,0.71668,0.035597,0.23355
"Lachnoclostridium_citroniae",-1.6066,0.76964,0.036841,0.23355
"Lactobacillus_antri",1.7712,0.85078,0.037354,0.23355
"OTU1337|NN=Desulfovibrio_desulfuricans_DVURRDA|D=89",1.8399,0.88698,0.038044,0.23355
"OTU156|NN=Oscillibacter_valericigenes_AB238598|D=95_3",-1.3265,0.64639,0.040158,0.23986
"Bacteroides_caccae",-1.4627,0.71943,0.042032,0.24041
"OTU1413|NN=Mesorhizobium_loti_RLU50164|D=82_1",2.5116,1.2377,0.042425,0.24041
"Holdemania_filiformis",1.6479,0.82095,0.044712,0.24277
"OTU214|NN=Eubacterium_biforme_JF298897|D=96_8",-2.3519,1.1734,0.045039,0.24277
"OTU673|NN=Ruminococcus_callidus_X85100|D=93_8",-2.1998,1.1145,0.048405,0.2547
"OTU1491|NN=Eubacterium_sulci_AJ006963|D=90_3",1.3859,0.7225,0.055084,0.28028
"OTU175|NN=Roseburia_hominis_AB661434|D=94_3",1.6054,0.83938,0.055803,0.28028
"OTU1736|NN=Alistipes_senegalensis_JF824804|D=96_3",-2.4521,1.3124,0.061707,0.29863
"OTU107|NN=Blautia_glucerasea_AB588023|D=95_6",1.0357,0.5553,0.062158,0.29863
"OTU197|NN=Ruminococcus_albus_AY445596|D=93_7",1.6679,0.90289,0.064712,0.30428
"OTU436|NN=Intestinimonas_butyriciproducens_JX101685_1|D=92_9",2.2629,1.2347,0.066835,0.30772
"OTU1683|NN=Ruminococcus_bromii_DQ882649|D=90",1.7065,0.9578,0.0748,0.32618
"OTU924|NN=Barnesiella_intestinihominis_AB370251|D=85_8",1.7535,0.98569,0.07525,0.32618
"OTU506|NN=Christensenella_minuta_AB490809|D=83_8",1.7314,0.97338,0.075272,0.32618
"OTU767|NN=Anoxystipes_fissicatena_NR_104800_1|D=93_6",1.2455,0.71608,0.081971,0.34657
"OTU19|NN=Phenylobacterium_haematophilum_AJ244650|D=97",-1.725,0.99544,0.083115,0.34657
"OTU342|NN=Clostridium_clariflavum_NR_102987_1|D=77_3",1.3416,0.7845,0.087232,0.35701
"Tyzzerella_lactatifermentans",-1.4511,0.85659,0.090257,0.36186
"OTU1551|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=91_1",1.7856,1.0587,0.091692,0.36186
"OTU840|NN=Oscillibacter_valericigenes_AB238598|D=94_8",1.1563,0.69481,0.096085,0.36782
"Gemella_haemolysans",-1.3419,0.81055,0.097824,0.36782
"Parabacteroides_goldsteinii",1.52,0.91918,0.098196,0.36782
"OTU1276|NN=Soleaferrea_massiliensis_JX101688|D=82_2",2.0388,1.2527,0.10362,0.37826
"OTU1109|NN=Blautia_wexlerae_EF036467|D=94_7",1.5897,0.98176,0.1054,0.37826
"OTU1688|NN=Gemmiger_formicilis_GU562446|D=92_5",-0.88982,0.55067,0.10612,0.37826
"OTU1240|NN=OscillospiraClostridium_viride_X81125|D=86",1.7297,1.0783,0.1087,0.38131
"OTU164|NN=Ruminococcus_bromii_DQ882649|D=85_6",1.9735,1.2599,0.11727,0.402
"OTU1335|NN=Oscillibacter_valericigenes_AB238598|D=95_6",1.0715,0.68798,0.11937,0.402
"Veillonella_rogosae",-1.2692,0.81641,0.12005,0.402
"Lachnoclostridium_scindens",1.2468,0.83693,0.1363,0.44825
"OTU293|NN=Clostridium_glycyrrhizinilyticum_AB233029|D=91_2",1.3412,0.90405,0.13792,0.44825
"OTU1568|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=93_7",-1.2,0.81929,0.143,0.45801
"Eubacterium_eligens",1.0855,0.76635,0.15664,0.49453
"OTU970|NN=Catabacter_hongkongensis_AB671763|D=84_7",1.4401,1.0253,0.16016,0.49853
"Odoribacter_splanchnicus",0.85453,0.61487,0.16459,0.50521
"OTU957|NN=Anoxystipes_fissicatena_NR_104800_1|D=93_2",1.3393,0.97717,0.1705,0.51199
"Alistipes_putredinis",-1.0748,0.78702,0.17204,0.51199
"Alistipes_indistinctus",1.2855,0.94502,0.17375,0.51199
"OTU1524|NN=Anaerofilum_pentosovorans_X97852|D=90_6",1.1422,0.84948,0.17877,0.51576
"Kluyvera_ascorbata",1.4015,1.0512,0.18245,0.51576
"OTU1074|NN=Papillibacter_cinnamivorans_AF167711|D=85_3",1.3347,1.0021,0.18289,0.51576
"Sutterella_wadsworthensis",-1.406,1.0606,0.18495,0.51576
"Phenylobacterium_haematophilum",-0.83024,0.62878,0.1867,0.51576
"OTU810|NN=Soleaferrea_massiliensis_JX101688|D=87_6",1.6035,1.2485,0.19902,0.52313
"OTU1000|NN=Bacteroides_vulgatus_BNRRR16SA|D=96_9",-0.71417,0.55655,0.19942,0.52313
"OTU1615|NN=Eubacterium_ventriosum_EUBRRDAB|D=95_1",-1.3429,1.0523,0.20191,0.52313
"OTU867|NN=Christensenella_minuta_AB490809|D=91_9",1.0226,0.80266,0.20266,0.52313
"OTU234|NN=Prevotella_conceptionensis_HM587326|D=87_4",-1.2786,1.005,0.20327,0.52313
"Ruminococcus_callidus",1.2799,1.0066,0.20357,0.52313
"OTU694|NN=Clostridium_clariflavum_NR_102987_1|D=85_2",0.7508,0.59771,0.20907,0.52562
"OTU1689|NN=Soleaferrea_massiliensis_JX101688|D=88_9",1.0724,0.85418,0.2093,0.52562
"OTU555|NN=Christensenella_minuta_AB490809|D=88_7",1.4035,1.1259,0.21258,0.52786
"OTU1731|NN=Roseburia_intestinalis_AB661435|D=97",0.72649,0.58808,0.2167,0.52892
"Actinomyces_odontolyticus",-0.65302,0.52987,0.21779,0.52892
"OTU176|NN=Butyrivibrio_crossotus_FR733670|D=87_8",-1.2341,1.0091,0.22133,0.53167
