"","Pvalues","FDR","AIH","healthy","LDAscore"
"Deltaproteobacteria",0.0086326,0.12949,2123.80974168204,13156.0684044848,3.74
"Methanobacteria",0.064022,0.48017,2171.26662352624,13274.9307662382,3.74
"Gammaproteobacteria",0.15448,0.69617,104613.264296911,31463.0792162787,-4.56
"Alphaproteobacteria",0.20828,0.69617,51160.2651052053,131574.317562359,4.6
"Clostridia",0.28931,0.69617,2717614.1223481,3647250.15479755,5.67
"Bacteroidia",0.30465,0.69617,5367671.95165874,4675610.2710058,-5.54
"Verrucomicrobiae",0.37116,0.69617,361895.774553379,176676.473461381,-4.97
"Not_Assigned",0.37129,0.69617,22263.0262116669,29016.4115365827,3.53
"Betaproteobacteria",0.4463,0.74383,34033.8028309154,118540.849741228,4.63
"Fusobacteriia",0.49662,0.74493,932.666299491229,618.229477031389,-2.2
"Erysipelotrichia",0.64294,0.84759,214605.760633245,142275.067325537,-4.56
"unclassified",0.68861,0.84759,4099.80724657801,5428.51095433028,2.82
"Bacilli",0.76569,0.84759,59475.4203708266,36989.0656577633,-4.05
"Actinobacteria",0.79108,0.84759,78349.6615968971,179379.964874491,4.7
"Negativicutes",0.92087,0.92087,978989.400482836,798746.605218941,-4.95
