"","AIH018","AIH021","AIH022","AIH035","AIH036","AIH039","AIH040","AIH043","AIH047","AIH052","AIH058","AIH059","AIH068","AIH069","AIH070","AIH071","AIH049","AIH050","AIH051","AIH053","AIH054","AIH055","AIH056","AIH057","AIH060","AIH061","AIH062","AIH063","AIH064","AIH065","AIH066","AIH076","AIH081","AIH082","AIH083"
"Actinomyces_odontolyticus",27,71,2,24,8,36,6,0,8,5,15,24,47,17,8,18,41,1,6,31,17,10,1,6,16,10,2,15,53,74,12,11,30,77,8
"Akkermansia_muciniphila",120,8,15,1043,0,8,13,0,4702,25440,3480,552,18,11800,6,1,19,6615,1378,185,12890,31,60,2108,2084,561,2002,598,287,110,1197,6,0,3,1938
"Alistipes_indistinctus",0,0,0,48,118,0,2,286,0,0,26,1,4,8,0,0,20,0,264,257,61,194,62,108,87,28,38,289,206,484,0,253,35,0,0
"Alistipes_marseilloanorexicus",2,3,6,1342,0,1,17,74,90,373,36,372,0,2006,58,9565,19,0,8,660,4019,0,2614,608,471,0,37,881,499,1603,1215,2,0,0,44
"Alistipes_obesi",2,14,51,1451,39,129,30,1060,188,352,1471,542,252,1157,1053,1,3532,4164,5203,3832,5711,1,3496,37,3406,616,436,4052,5962,6787,9456,7,2318,294,242
"Alistipes_putredinis",17,26,42,10530,17850,7438,181,6364,10290,9045,7706,5017,4378,17240,8364,7,1110,0,8228,7206,76,2,13780,11,2635,262,3461,6323,31,4379,11750,19,6070,1,675
"Anaerofustis_stercorihominis",0,0,0,1,0,0,0,1,3,0,0,0,4,0,0,16,0,2,4,2,2,0,1,6,0,0,0,0,7,7,1,0,2,5,2
"Anaerotruncus_colihominis",1,0,0,1,0,8,1,0,117,23,0,3,0,0,0,0,0,2,82,0,3,8,0,0,3,0,4,2,0,2,1,1,18,1,1
"Bacteroides_caccae",186,4171,11,167,2206,2983,28,1192,46,2,1272,2637,1440,1449,4,8177,398,2879,576,1986,248,1704,1571,9,100,1157,566,56,1375,73,2125,6,70,1,591
"Bacteroides_cellulosilyticus",0,0,4,5,3,114,25,0,8055,373,188,20,87,144,405,1288,146,2,979,125,1739,0,31,7,7,349,31,1620,1810,1,1,7531,0,0,2
"Bacteroides_clarus",0,0,0,0,0,0,0,153,0,0,0,0,0,119,2,0,102,2,0,1,1073,0,1,27,2,3,1,0,0,0,3,0,0,0,245
"Bacteroides_massiliensis",3,0,0,24,0,2,9,47,0,0,0,0,1652,3,758,0,1278,1719,1,1,0,0,340,135,3,2663,0,0,1,0,0,0,0,0,1039
"Bacteroides_plebeius",1,26,51130,0,0,0,0,0,4,0,1942,526,169,0,0,0,1,0,9,6,1,1,0,9,2,1,0,0,5,0,0,0,0,0,0
"Bacteroides_uniformis",6488,164,13420,1274,885,4931,24,186,2506,2674,2505,2666,742,8186,3093,4712,2287,12940,2603,749,4820,15480,11230,200,6257,1479,329,21430,5841,4522,19100,38780,5164,1,3321
"Barnesiella_intestinihominis",9,194,6,3298,5636,5,287,4640,4660,6092,10498,5133,898,2,2241,3,664,10262,1180,5233,1054,1,10578,98,17457,528,1933,1078,25921,8183,15731,165,4349,1253,1
"Bifidobacterium_bifidum",0,4,3,0,0,1,0,8,0,0,3,0,17,45,1,0,44,0,0,22,0,0,0,40,2,9,17,0,19,11,0,0,0,113,0
"Bilophila_wadsworthia",0,5,0,8,0,8,1,2,1,10,4,0,67,4,10,0,227,35,4,13,11,0,6,21,0,377,29,0,12,23,10,0,14,0,0
"Bradyrhizobium_elkanii",4,12,5,0,3,4,0,1,0,0,0,2,0,0,2,0,0,0,0,6,0,3,0,0,0,0,0,30,0,0,0,4,2,0,0
"Brevundimonas_vesicularis",1,3,0,2,2,1,0,0,3,3,0,1,1,16,10,0,2,0,4,8,1,1,0,2,0,0,2,0,1,2,0,0,0,0,0
