"","AIH","healthy"
"Actinomyces_odontolyticus",316,421
"Akkermansia_muciniphila",47206,32072
"Alistipes_indistinctus",493,2386
"Alistipes_marseilloanorexicus",13945,12680
"Alistipes_obesi",7792,59552
"Alistipes_putredinis",104495,66019
"Anaerofustis_stercorihominis",25,41
"Anaerotruncus_colihominis",154,128
"Bacteroides_caccae",25971,15491
"Bacteroides_cellulosilyticus",10711,14381
"Bacteroides_clarus",274,1460
"Bacteroides_massiliensis",2498,7180
"Bacteroides_plebeius",53798,35
"Bacteroides_uniformis",54456,156533
"Barnesiella_intestinihominis",43602,105669
"Bifidobacterium_bifidum",82,277
"Bilophila_wadsworthia",120,782
"Bradyrhizobium_elkanii",33,45
"Brevundimonas_vesicularis",43,23
"Butyricimonas_virosa",162,365
"Christensenella_minuta",140,23
"Clostridium_disporicum",2261,3651
"Collinsella_aerofaciens",1421,1965
"Coprococcus_eutactus",498,823
"Dorea_longicatena",1594,5171
"Eggerthella_lenta",15,94
"Erysipelatoclostridium_innocuum",197,92
"Eubacterium_eligens",1952,2171
"Eubacterium_siraeum",1096,1967
"Fusicatenibacter_saccharivorans",747,5898
"Gemella_haemolysans",64,38
"Granulicatella_adiacens",610,374
"Haemophilus_parainfluenzae",14409,1216
"Holdemania_filiformis",64,136
"Intestinibacter_bartlettii",10788,21976
"Intestinimonas_butyriciproducens",242,871
"Kluyvera_ascorbata",55,3068
"Lachnoclostridium_aldenense",111,238
"Lachnoclostridium_asparagiforme",98,49
"Lachnoclostridium_citroniae",377,230
"Lachnoclostridium_scindens",62,134
"Lactobacillus_antri",1213,538
"Lactobacillus_rogosae",549,738
"Lactobacillus_salivarius",1390,1579
"Lactococcus_lactis",319,353
"Methanobrevibacter_smithii_U55233_1",253,1914
"Odoribacter_splanchnicus",5879,16879
"Oscillospira_plautii",153,730
"OTU100.NN.Eubacterium_saphenum_GU427005.D.91",26,76
"OTU1000.NN.Bacteroides_vulgatus_BNRRR16SA.D.96_9",83824,67348
"OTU1028.NN.Ruminococcus_gnavus_JN713312.D.95_6",20407,1741
"OTU1033.NN.Ruminococcus_bromii_DQ882649.D.88",103,394
"OTU1048.NN.Clostridium_populeti_X71853.D.91_9",392,219
"OTU1051.NN.Christensenella_minuta_AB490809.D.87_2",1008,2214
"OTU1065.NN.OscillospiraFlavonifractor_plautii_Y18187.D.86_6",61,338
"OTU107.NN.Blautia_glucerasea_AB588023.D.95_6",660,3481
"OTU1074.NN.Papillibacter_cinnamivorans_AF167711.D.85_3",186,341
"OTU1087.NN.Blautia_glucerasea_AB588023.D.93",179,1150
"OTU1096.NN.Alistipes_indistinctus_AB600999.D.96",294,72
"OTU1103.NN.OscillospiraPseudoflavonifractor_capillosus_AY136666.D.92_3",122,168
"OTU1109.NN.Blautia_wexlerae_EF036467.D.94_7",10,83
"OTU1147.NN.Clostridium_glycolicum_AY007244.D.96_3",4920,8778
"OTU1160.NN.Clostridium_methylpentosum_Y18181.D.94_6",30,119
"OTU117.NN.Clostridium_bolteae_AJ508452.D.90_7",95,888
"OTU119.NN.Papillibacter_cinnamivorans_AF167711.D.91_1",974,1586
"OTU1196.NN.Christensenella_minuta_AB490809.D.86_5",88,1198
"OTU1226.NN.Oscillibacter_valericigenes_AB238598.D.94_8",348,149
"OTU1240.NN.OscillospiraClostridium_viride_X81125.D.86",23,246
"OTU126.NN.Alistipes_marseilloanorexicus_JX101692.D.90_9",6408,65657
"OTU1276.NN.Soleaferrea_massiliensis_JX101688.D.82_2",64,455
"OTU1288.NN.Clostridium_sporosphaeroides_CLORR16SAD.D.92_8",30,41
"OTU1291.NN.Lactobacillus_gasseri_JQ805634.D.97",125,213
"OTU131.NN.Oscillibacter_valericigenes_AB238598.D.93_5",69,62
"OTU1322.NN.Catabacter_hongkongensis_AB671763.D.85_4",3,72
"OTU1335.NN.Oscillibacter_valericigenes_AB238598.D.95_6",212,664
"OTU1337.NN.Desulfovibrio_desulfuricans_DVURRDA.D.89",132,1419
"OTU1339.NN.Clostridium_clariflavum_NR_102987_1.D.76_8",2802,2170
"OTU1358.NN.Oscillibacter_valericigenes_AB238598.D.91_3",1530,1040
"OTU136.NN.OscillospiraPseudoflavonifractor_capillosus_AY136666.D.91_2",317,339
"OTU1376.NN.Acinetobacter_septicus_EF611418.D.96",54,93
"OTU1387.NN.Alistipes_timonensis_JF824799.D.96_6",4408,28515
"OTU1413.NN.Mesorhizobium_loti_RLU50164.D.82_1",971,14619
"OTU1424.NN.Dorea_formicigenerans_EUBRRDP.D.96_7",553,1474
"OTU1427.NN.Clostridium_clariflavum_NR_102987_1.D.82_3",238,6775
"OTU1461.NN.Desulfitobacterium_frappieri_DFU40078.D.84_5",14,48
"OTU1482.NN.Veillonella_atypica_X84007.D.96_9",34958,21448
"OTU1491.NN.Eubacterium_sulci_AJ006963.D.90_3",293,793
"OTU1513.NN.Christensenella_minuta_AB490809.D.84_3",27,60
"OTU152.NN.Oscillibacter_valericigenes_AB238598.D.94_3",23054,26762
"OTU1524.NN.Anaerofilum_pentosovorans_X97852.D.90_6",160,516
"OTU1527.NN.OscillospiraPseudoflavonifractor_capillosus_AY136666.D.93_9",549,755
"OTU1536.NN.Eubacterium_ventriosum_EUBRRDAB.D.95_6",2246,2230
"OTU1551.NN.Clostridium_sporosphaeroides_CLORR16SAD.D.91_1",109,401
"OTU1552.NN.Catabacter_hongkongensis_AB671763.D.82_8",196,165
