"","Pvalues","FDR"
"Deltaproteobacteria",0.00026239,0.0039358
"Gammaproteobacteria",0.066951,0.50213
"Clostridia",0.29146,0.96023
"Bacilli",0.308,0.96023
"Not_Assigned",0.44897,0.96023
"Fusobacteriia",0.51007,0.96023
"Erysipelotrichia",0.56701,0.96023
"unclassified",0.59027,0.96023
"Alphaproteobacteria",0.6538,0.96023
"Negativicutes",0.65882,0.96023
"Bacteroidia",0.72718,0.96023
"Methanobacteria",0.78557,0.96023
"Betaproteobacteria",0.85358,0.96023
"Actinobacteria",0.92509,0.96023
"Verrucomicrobiae",0.96023,0.96023
