"","Pvalues","FDR","Statistics"
"Alistipes_putredinis",1.8449e-05,0.0049076,4.913
"OTU902|NN=Prevotella_loescheii_AB547688|D=88_8",0.0046982,0.62486,3.0089
"Turicibacter_sanguinis",0.015983,0.73699,2.5251
"Ruminococcaceae_18",0.020086,0.73699,2.4296
"Barnesiella_intestinihominis_1",0.020313,0.73699,2.4249
"OTU169|NN=Faecalibacterium_prausnitzii_X85022|D=96_7",0.02409,0.73699,2.3523
"Alistipes_1",0.025731,0.73699,2.3239
"OTU1358|NN=Oscillibacter_valericigenes_AB238598|D=91_3",0.031576,0.73699,2.2345
"Veillonella_rogosae",0.035113,0.73699,-2.1873
"OTU506|NN=Christensenella_minuta_AB490809|D=83_8",0.041151,0.73699,2.1158
"OTU392|NN=Aggregatibacter_aphrophilus_EF605278|D=95_1",0.047428,0.73699,2.0507
"Dorea_longicatena",0.047607,0.73699,2.049
"Shigella_sonnei",0.050581,0.73699,-2.0208
"Paraprevotella_clara",0.061294,0.73699,1.93
"OTU1226|NN=Oscillibacter_valericigenes_AB238598|D=94_8",0.071988,0.73699,1.8522
"OTU342|NN=Clostridium_clariflavum_NR_102987_1|D=77_3",0.075582,0.73699,1.8283
"OTU516|NN=Prevotella_copri_AB064923|D=96_6_1",0.083163,0.73699,1.7808
"Clostridiales_2",0.085591,0.73699,1.7663
"OTU808|NN=Eubacterium_ramulus_EUBRRDT|D=95_9",0.088475,0.73699,1.7496
"Prevotella",0.092168,0.73699,1.7289
"OTU700|NN=Oscillibacter_valericigenes_AB238598|D=90_8",0.096572,0.73699,1.705
"unclassified_2",0.097696,0.73699,1.6991
"OTU178|NN=Oscillibacter_valericigenes_AB238598|D=92_5",0.098467,0.73699,1.6951
"OTU1482|NN=Veillonella_atypica_X84007|D=96_9",0.09856,0.73699,-1.6946
"OTU516|NN=Prevotella_copri_AB064923|D=96_6_2",0.10286,0.73699,1.6725
"OTU58|NN=OscillospiraFlavonifractor_plautii_Y18187|D=95_5",0.10313,0.73699,1.6711
"Oscillospira_plautii",0.10481,0.73699,-1.6628
"Bacteroides_uniformis",0.11583,0.73699,1.6103
"Barnesiella_intestinihominis_2",0.12086,0.73699,1.5877
"OTU156|NN=Oscillibacter_valericigenes_AB238598|D=95_3_1",0.1241,0.73699,1.5736
"OTU160|NN=Intestinimonas_butyriciproducens_JX101685_1|D=91_4",0.12696,0.73699,1.5613
"OTU311|NN=Prevotella_copri_AB064923|D=90_1",0.14147,0.73699,-1.5024
"Ruminococcaceae_17",0.14452,0.73699,1.4907
"Eggerthella_lenta",0.14462,0.73699,-1.4903
"OTU869|NN=Papillibacter_cinnamivorans_AF167711|D=90_2",0.14558,0.73699,1.4867
"Erysipelatoclostridium_innocuum",0.14924,0.73699,1.4729
"Roseburia",0.15251,0.73699,1.4608
"Lactococcus_lactis",0.15679,0.73699,1.4453
"OTU119|NN=Papillibacter_cinnamivorans_AF167711|D=91_1",0.15791,0.73699,1.4413
