"","log2FC","lfcSE","Pvalues","FDR"
"OTU1482|NN=Veillonella_atypica_X84007|D=96_9",6.2078,0.77191,8.8328e-16,2.641e-13
"Streptococcus_1",5.5123,0.69674,2.5426e-15,3.8012e-13
"OTU1028|NN=Ruminococcus_gnavus_JN713312|D=95_6",6.4167,0.92343,3.6845e-12,3.6722e-10
"Bacteroides_3",-6.7879,1.0228,3.2156e-11,2.4036e-09
"Streptococcus_infantis",3.8191,0.60326,2.4411e-10,1.4598e-08
"Dialister_pneumosintes",7.2558,1.2099,2.0108e-09,1.0021e-07
"OTU506|NN=Christensenella_minuta_AB490809|D=83_8",-6.0393,1.0339,5.1736e-09,2.2099e-07
"Streptococcus_anginosus",4.9493,0.86599,1.0958e-08,4.0957e-07
"OTU790|NN=Barnesiella_intestinihominis_AB370251|D=84_6",6.7883,1.2109,2.0705e-08,6.2652e-07
"Streptococcus",3.5874,0.64015,2.0954e-08,6.2652e-07
"Bacteroidales_5",-5.8559,1.0889,7.5456e-08,1.9139e-06
"Shigella_sonnei",4.6813,0.87102,7.6814e-08,1.9139e-06
"OTU1337|NN=Desulfovibrio_desulfuricans_DVURRDA|D=89_2",-5.6423,1.0634,1.1205e-07,2.5772e-06
"OTU175|NN=Roseburia_hominis_AB661434|D=94_3",-4.8783,0.93763,1.9637e-07,4.1938e-06
"Paraprevotella_clara",5.563,1.0745,2.2498e-07,4.4847e-06
"Parabacteroides_goldsteinii",-4.7466,0.96598,8.9367e-07,1.67e-05
"Megasphaera",5.4131,1.1279,1.593e-06,2.7819e-05
"Veillonella_rogosae",4.3818,0.91495,1.6747e-06,2.7819e-05
"Clostridiales_23",-5.5476,1.1958,3.4947e-06,5.4995e-05
"Haemophilus_parainfluenzae",3.8578,0.8441,4.8698e-06,7.2804e-05
"Lachnospiraceae_7",-4.4495,0.9944,7.6574e-06,0.00010903
"Bacteroides_1",5.2738,1.209,1.288e-05,0.00017506
"OTU1000|NN=Bacteroides_vulgatus_BNRRR16SA|D=96_9",2.6943,0.62703,1.7315e-05,0.00022509
"OTU1339|NN=Clostridium_clariflavum_NR_102987_1|D=76_8",-4.8767,1.142,1.9523e-05,0.00024322
