"","AIH049","AIH050","AIH051","AIH053","AIH054","AIH055","AIH056","AIH057","AIH060","AIH061","AIH062","AIH063","AIH064","AIH065","AIH066","AIH076","AIH081","AIH082","AIH083","AIH027","AIH031","AIH040","AIH046","AIH058","AIH068","AIH018","AIH023","AIH033","AIH035","AIH043","AIH047","AIH052","AIH059","AIH069","AIH071","AIH072","AIH001","AIH002","AIH003","AIH005","AIH006","AIH007","AIH009","AIH020","AIH021","AIH022","AIH026","AIH029","AIH030","AIH032","AIH036","AIH037","AIH039","AIH042","AIH070","AIH074","AIH077"
"Actinomyces_odontolyticus",41,1,6,31,17,10,1,6,16,10,2,15,53,74,12,11,30,77,8,19,5,6,3,15,47,27,12,0,24,0,8,5,24,17,18,5,59,4,1,5,7,0,0,248,71,2,5,81,6,0,8,42,36,2,8,23,11
"Akkermansia_muciniphila",19,6615,1378,185,12890,31,60,2108,2084,561,2002,598,287,110,1197,6,0,3,1938,15,2,13,8,3480,18,120,25480,57140,1043,0,4702,25440,552,11800,1,1675,7,16,13,3903,9,16,1,1,8,15,0,3,141,13,0,6,8,3921,6,4,9123
"Alistipes_indistinctus",20,0,264,257,61,194,62,108,87,28,38,289,206,484,0,253,35,0,0,8,0,2,0,26,4,0,0,98,48,286,0,0,1,8,0,0,78,624,168,43,0,0,0,0,0,0,0,0,0,0,118,0,0,72,0,0,0
"Alistipes_marseilloanorexicus",19,0,8,660,4019,0,2614,608,471,0,37,881,499,1603,1215,2,0,0,44,3,0,17,420,36,0,2,1,126,1342,74,90,373,372,2006,9565,0,0,2602,616,254,0,0,0,0,3,6,18,0,3,0,0,0,1,1201,58,1,212
"Alistipes_obesi",3532,4164,5203,3832,5711,1,3496,37,3406,616,436,4052,5962,6787,9456,7,2318,294,242,1,2932,30,1592,1471,252,2,1,63,1451,1060,188,352,542,1157,1,1,0,1255,2651,2,8,0,541,0,14,51,228,10,3210,7,39,0,129,6311,1053,34,10160
"Alistipes_putredinis",1110,0,8228,7206,76,2,13780,11,2635,262,3461,6323,31,4379,11750,19,6070,1,675,284,10,181,36,7706,4378,17,0,1029,10530,6364,10290,9045,5017,17240,7,1,4,3890,10,6754,40,3,525,1,26,42,3497,11,3262,29,17850,0,7438,14,8364,355,2
"Anaerotruncus_colihominis",0,2,82,0,3,8,0,0,3,0,4,2,0,2,1,1,18,1,1,13,0,1,4,0,0,1,0,38,1,0,117,23,3,0,0,0,0,20,0,10,0,0,2,0,0,0,0,0,0,0,0,0,8,3,0,3,0
"Bacteroides_caccae",398,2879,576,1986,248,1704,1571,9,100,1157,566,56,1375,73,2125,6,70,1,591,13,12,28,10,1272,1440,186,10360,13760,167,1192,46,2,2637,1449,8177,64,1817,1664,74,459,25,4,128,1436,4171,11,2421,1,20,66,2206,26,2983,13260,4,478,34
"Bacteroides_cellulosilyticus",146,2,979,125,1739,0,31,7,7,349,31,1620,1810,1,1,7531,0,0,2,122,0,25,22,188,87,0,0,49,5,0,8055,373,20,144,1288,10,3,0,10100,4,0,4,8,0,0,4,128,2,3,18,3,0,114,1,405,5852,1075
"Bacteroides_massiliensis",1278,1719,1,1,0,0,340,135,3,2663,0,0,1,0,0,0,0,0,1039,867,0,9,0,0,1652,3,0,1,24,47,0,0,0,3,0,14,0,0,0,0,0,0,0,1,0,0,1655,0,0,0,0,0,2,523,758,0,0
"Bacteroides_plebeius",1,0,9,6,1,1,0,9,2,1,0,0,5,0,0,0,0,0,0,0,0,0,2,1942,169,1,0,0,0,0,4,0,526,0,0,2,0,1,0,5,10,2,0,0,26,51130,0,3,16,2,0,0,0,0,0,0,0
"Bacteroides_uniformis",2287,12940,2603,749,4820,15480,11230,200,6257,1479,329,21430,5841,4522,19100,38780,5164,1,3321,1159,4708,24,1265,2505,742,6488,2548,255,1274,186,2506,2674,2666,8186,4712,61,5841,3686,6,5033,42,6,38,0,164,13420,3680,8,1210,14,885,0,4931,4570,3093,10440,1528
"Barnesiella_intestinihominis",664,10262,1180,5233,1054,1,10578,98,17457,528,1933,1078,25921,8183,15731,165,4349,1253,1,49,0,287,16,10498,898,9,0,4,3298,4640,4660,6092,5133,2,3,4,8018,718,7,10845,604,7,35,0,194,6,273,7,495,11,5636,2,5,4024,2241,2,1
"Bifidobacterium_bifidum",44,0,0,22,0,0,0,40,2,9,17,0,19,11,0,0,0,113,0,6,0,0,10,3,17,0,1,0,0,8,0,0,0,45,0,0,0,0,5,5,3,0,7,4263,4,3,111,4,2,0,0,28,1,10,1,3,6
"Bilophila_wadsworthia",227,35,4,13,11,0,6,21,0,377,29,0,12,23,10,0,14,0,0,48,0,1,0,4,67,0,0,20,8,2,1,10,0,4,0,0,5,16,10,4,5,0,6,0,5,0,2,0,0,64,0,8,8,0,10,0,0
"Bradyrhizobium_elkanii",0,0,0,6,0,3,0,0,0,0,0,30,0,0,0,4,2,0,0,4,0,0,2,0,0,4,0,1,0,1,0,0,2,0,0,0,4,0,9,0,1,0,1,0,12,5,0,0,5,3,3,5,4,2,2,1,0
"Butyricimonas_virosa",1,10,0,1,66,0,0,0,214,0,1,1,0,34,0,0,9,0,28,0,0,2,5,17,65,0,0,6,1,27,27,2,12,7,0,0,4,55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0
"Christensenella_minuta",0,0,3,0,0,0,1,0,0,0,4,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,23,0,21,3,3,53,0,0,51,74,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,43,37,0,0
"Clostridium_disporicum",14,7,93,62,38,9,6,2687,10,144,3,26,28,13,1,0,124,382,4,0,5,0,93,130,41,0,1,0,84,334,3,6,2,26,18,6,560,0,108,0,16,1,0,1,1323,5,0,0,34,8,0,30,134,0,155,237,131
"Collinsella_aerofaciens",341,16,83,303,63,10,34,7,3,399,51,33,507,56,0,0,6,0,53,218,0,1,54,20,183,15,0,1,54,83,703,5,4,27,35,0,24,10,37,6,20,0,9,1648,1,6,113,674,69,0,1,0,28,4103,255,56,20
"Coprococcus_eutactus",106,0,257,0,0,0,0,0,0,37,36,0,0,0,0,0,198,39,150,0,0,2,1,0,59,0,0,0,0,306,1,41,0,65,0,0,0,0,0,2,23,2,0,0,7,14,0,1,1555,3,0,0,3,0,0,0,0
"Dialister_pneumosintes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,2,0,0,0,0,12,0,2,3,2,0,0,0,2,0,4,0,2,0,11,1986,0,42,0,0,35,365,0,746,1,51,385,0,7,33,0
"Dorea_longicatena",497,100,16,59,14,27,61,63,54,200,28,37,69,16,33,1,50,110,3736,11,11,1,14,53,446,23,0,0,51,12,22,15,11,20,56,2,11,18,39,42,17,1,17,0,784,9,36,1,1,0,16,0,64,44,11,37,8
"Eggerthella_lenta",7,0,4,0,1,3,5,0,3,2,0,0,1,1,4,0,3,60,0,0,10,0,1,0,0,2,0,2,0,0,0,0,0,2,3,0,2,10,4,2,0,1,1,65,4,0,0,0,0,11,0,12,4,3,0,9,0
"Eubacterium_brachy",0,0,0,9,1,0,0,0,0,0,11,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,5,0,0,0,4,0,3,0,4,0,2,0,9,0,4,4,0,2,0,0,12,0,0
"Eubacterium_eligens",908,3,50,73,1,365,78,1,196,0,36,264,57,12,14,0,91,14,8,0,90,9,41,1332,196,14,3,0,12,10,16,60,0,228,62,3,155,331,0,13,8,0,0,0,0,0,0,2,0,0,2,385,0,4,11,960,0
"Eubacterium_siraeum",169,319,104,905,0,0,20,0,14,3,31,2,5,51,10,1,0,0,333,0,0,1,119,492,2,6,0,0,17,5,142,139,14,0,181,444,0,87,0,94,14,0,0,0,2,0,0,0,78,0,6,0,0,11,89,0,932
"Fusicatenibacter_saccharivorans",1093,24,100,160,132,27,290,10,0,314,32,132,86,33,18,0,30,1038,2379,0,22,11,6,70,91,209,9,10,21,20,16,82,27,10,42,1,7,44,55,100,0,0,3,207,20,2,4,1395,56,0,11,2,71,21,44,424,2
"Gemella_haemolysans",5,0,0,0,4,0,1,5,0,1,0,1,7,1,1,12,0,0,0,15,0,0,0,0,0,6,1,0,4,3,0,5,4,19,1,0,2,2,13,6,0,0,0,13,12,0,0,15,0,0,1,14,0,3,9,5,0
"Granulicatella_adiacens",22,2,4,35,16,1,10,13,15,2,42,12,165,7,2,18,8,0,0,0,4,9,0,1,12,70,11,5,2,4,8,8,4,160,5,1,81,18,64,38,10,3,6,213,264,1,0,52,15,1,6,40,51,1,5,88,1
"Haemophilus_parainfluenzae",27,0,36,6,0,20,0,10,43,0,634,20,75,13,181,28,52,54,17,9,290,1,17,539,173,1189,22,0,2456,87,80,2,5,1,0,0,70,336,265,2,2414,0,3,397,1347,10,1087,17,150,5,244,6913,8236,4,39,1361,128
"Holdemania_filiformis",0,0,0,7,8,0,0,6,7,7,1,11,4,3,2,78,0,2,0,0,5,0,0,0,4,56,0,3,1,2,0,0,0,0,1,1,0,8,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Intestinibacter_bartlettii",194,59,1332,3790,2056,694,24,1181,15,59,22,122,219,3135,70,4,2025,5376,1599,3,18,19,1013,50,1490,3,12,2,133,1376,1322,878,55,1068,129,5,372,213,1271,0,64,3,116,0,1508,26,2,16,1053,7,43,2204,414,0,2274,983,1609
"Intestinimonas_butyriciproducens",2,4,0,1,3,12,8,14,9,6,0,104,5,8,4,682,7,0,2,676,22,1,10,0,0,5,0,11,3,0,22,7,0,13,24,0,6,0,3,3,0,0,0,0,1,144,0,0,6,1,0,0,22,0,0,0,8
"Kluyvera_ascorbata",0,1782,2,3,1,0,0,20,1161,0,2,0,1,0,0,14,0,82,0,5,7,3,6,0,6,0,12,0,0,0,4,0,0,9,0,1,10,0,0,0,37,2,2,0,0,28,0,2317,1,1225,0,0,5,2,0,0,0
"Lachnoclostridium_aldenense",0,0,8,7,12,1,7,30,2,1,5,1,3,0,3,0,3,155,0,398,0,0,0,0,0,20,6,3,3,0,3,2,1,1,0,0,0,0,1,0,0,0,0,16,72,0,0,0,0,0,0,11,9,4,0,6,1
"Lachnoclostridium_asparagiforme",0,3,1,4,1,4,0,4,3,0,0,11,0,1,7,0,6,0,4,225,0,0,0,0,1,2,5,2,4,0,25,3,0,0,2,0,0,2,0,1,0,0,2,0,2,48,0,0,1,0,1,8,10,9,0,14,2
"Lachnoclostridium_citroniae",1,7,0,6,3,7,0,8,6,3,1,6,2,7,0,13,4,140,16,65,1,0,2,4,0,17,2,11,1,0,8,1,0,0,0,0,0,1,4,5,0,0,2,39,262,26,0,870,4,0,2,26,51,9,5,53,21
"Lachnoclostridium_scindens",0,4,8,7,23,0,1,55,5,0,4,0,7,18,2,0,0,0,0,0,0,1,0,4,0,38,0,8,0,0,1,8,1,1,0,0,0,10,1,0,0,0,0,0,1,0,0,0,0,0,5,36,0,1,2,16,4
"Lactobacillus_antri",1,12,81,65,82,2,19,155,14,2,19,0,42,23,21,0,0,0,0,0,0,0,0,13,5,12,0,8,0,0,1,20,14,1146,0,0,4,5,5,2,3,1,0,0,0,0,0,41,0,26,0,0,2,0,0,201,0
"Lactobacillus_rogosae",241,0,0,114,31,32,8,35,0,8,43,100,11,16,0,0,27,59,13,2,0,1,7,26,121,5,0,0,0,41,0,7,0,29,0,0,0,161,0,69,4,0,0,0,272,0,46,82,0,0,15,0,0,33,32,0,12
"Lactobacillus_salivarius",7,35,303,89,216,0,41,630,28,0,40,3,99,35,35,13,5,0,0,0,0,3,0,22,19,14,0,3,0,0,1,50,24,1231,14,1,5,0,0,0,22,5,0,0,0,0,0,1035,1,68,0,0,0,0,12,6,0
"Lactococcus_lactis",14,3,14,15,33,5,26,92,3,3,28,0,29,19,27,0,0,16,26,7,5,0,15,4,0,0,1,0,1,1,2,14,4,120,12,0,0,3,89,1,12,0,0,0,80,21,8,0,0,0,0,0,58,0,2,0,0
"Odoribacter_splanchnicus",555,156,705,911,395,6727,768,226,1901,248,78,87,749,1071,277,1,58,1,1965,63,1012,10,36,590,477,442,0,362,143,795,358,358,56,465,642,50,717,714,456,567,19,0,455,0,598,34,304,0,79,1,196,0,669,458,46,208,309
"Oscillospira_plautii",4,2,3,8,15,9,3,5,28,1,0,16,55,6,49,259,19,240,8,0,1,0,32,17,7,16,120,64,5,6,2,13,5,9,9,4,3,29,3,110,0,0,0,2,5,9,3,0,0,3,6,139,41,33,3,490,0
"OTU100.NN.Eubacterium_saphenum_GU427005.D.91",15,0,2,3,0,3,3,0,2,40,0,2,1,1,0,0,0,0,4,19,1,0,0,1,5,1,0,1,0,2,0,2,2,8,0,0,11,7,1,0,4,0,0,0,0,0,6,0,1,0,1,7,0,0,4,0,0
