"","0_healthy","1_normal","2_fibrose","3_zirrhose"
"Actinomyces_odontolyticus",0.000246317379651142,0.0002188481217072,0.000167428666418713,0.000327571809138354
"Akkermansia_muciniphila",0.0187645866987445,0.00814575745638587,0.153021429673383,0.00910956562602201
"Alistipes_indistinctus",0.0013959935103269,9.21465775609262e-05,0.000527400299218945,0.000583702270564789
"Alistipes_marseilloanorexicus",0.00741877523509853,0.00109654427297502,0.0166842666086247,0.00263274596197627
"Alistipes_obesi",0.0348425002208665,0.0144624053481874,0.00576193796289542,0.0136019034091811
"Alistipes_putredinis",0.038626192606149,0.0290146536094966,0.0712050199897869,0.0275800645829783
"Anaerotruncus_colihominis",7.48898446445277e-05,4.14659599024168e-05,0.000218853185390175,2.43429777388761e-05
"Bacteroides_caccae",0.00906342643272171,0.00639266881828925,0.045492760504056,0.0165574584237816
"Bacteroides_cellulosilyticus",0.00841399106119495,0.00102282701092628,0.011892218991912,0.00937945516182259
"Bacteroides_massiliensis",0.00420085222302898,0.00582366370185053,0.000110024552218011,0.00155530459944689
"Bacteroides_plebeius",2.04776918949881e-05,0.00486764295965592,0.000637424851436957,0.0270921466378643
"Bacteroides_uniformis",0.0915838441542333,0.0239650211591579,0.0377384214107779,0.031008190882814
"Barnesiella_intestinihominis",0.0618244921386141,0.027063449829644,0.0285166896482443,0.0175327651188414
"Bifidobacterium_bifidum",0.000162066304426048,8.29319198048335e-05,6.45796284757892e-05,0.00235809366966156
"Bilophila_wadsworthia",0.000457530144625162,0.000276439732682779,5.38163570631577e-05,7.56749090578103e-05
"Bradyrhizobium_elkanii",2.63284610078418e-05,1.38219866341389e-05,9.56735236678359e-06,3.01641245894768e-05
"Butyricimonas_virosa",0.000213553072619161,0.000205026135073061,9.80653617595318e-05,3.38684907671319e-05
"Christensenella_minuta",1.34567689595636e-05,0,0.000123179661722339,0.000113247766002597
"Clostridium_disporicum",0.0021361158031029,0.000619685734097228,0.000574041142007015,0.00145158234647254
"Collinsella_aerofaciens",0.00114967613067576,0.00109654427297502,0.00110861695550105,0.00374670179111397
"Coprococcus_eutactus",0.000481518297987862,0.000142827195219436,0.000493914565935203,0.000852004220860662
"Dialister_pneumosintes",0,0.000246492094975477,2.51142999628069e-05,0.00194108787709125
"Dorea_longicatena",0.00302543270825666,0.00123476413931641,0.000253534837719765,0.00061174961448132
"Eggerthella_lenta",5.49972296608251e-05,2.53403088292547e-05,1.07632714126315e-05,6.77369815342638e-05
"Eubacterium_brachy",1.93075380724173e-05,0,1.43510285501754e-05,2.32845874024032e-05
"Eubacterium_eligens",0.00127020197440054,0.00384251228429062,0.000487934970705963,0.000990124159770372
"Eubacterium_siraeum",0.00115084628449833,0.00141444996556022,0.00113373125546386,0.00069483325589444
"Fusicatenibacter_saccharivorans",0.00345078362276113,0.000460732887804631,0.000534575813494033,0.00130605367520752
"Gemella_haemolysans",2.22329226288442e-05,3.45549665853473e-05,5.14245189714618e-05,5.02735409824614e-05
"Granulicatella_adiacens",0.000218818764820729,5.9895275414602e-05,0.00033246549474573,0.000506968971170506
"Haemophilus_parainfluenzae",0.000711453524123014,0.00237047070775483,0.00459472097414782,0.0121863063341486
"Holdemania_filiformis",7.95704599348107e-05,2.07329799512084e-05,7.65388189342687e-05,7.93792752354654e-06
"Intestinibacter_bartlettii",0.0128576502024074,0.00597340189038704,0.00595926460546033,0.00644453875878332
"Intestinimonas_butyriciproducens",0.00050960198972956,0.00163329808726742,0.000101653118897076,0.000102663862637869
"Kluyvera_ascorbata",0.00179501596382352,6.21989398536252e-05,3.10938951920467e-05,0.00192044926553003
"Lachnoclostridium_aldenense",0.000139248304885919,0.000916858446731215,4.664084278807e-05,6.35034201883723e-05
"Lachnoclostridium_asparagiforme",2.86687686529833e-05,0.000520628163219233,5.14245189714618e-05,5.29195168236436e-05
"Lachnoclostridium_citroniae",0.000134567689595636,0.000165863839609667,4.78367618339179e-05,0.000730289332166282
"Lachnoclostridium_scindens",7.840030611224e-05,1.15183221951158e-05,6.81673856133331e-05,4.02188327859691e-05
"Lactobacillus_antri",0.000314771378271531,4.14659599024168e-05,0.00143629877406339,0.000153466598788566
"Lactobacillus_rogosae",0.000431786760528605,0.000361675316926635,9.80653617595318e-05,0.000384195692139652
"Lactobacillus_salivarius",0.000923836442919604,0.000101361235317019,0.00160013968334455,0.000610691224144847
"Lactococcus_lactis",0.000206532149683737,7.14135976097178e-05,0.000185367452106432,0.000144999476096783
"Odoribacter_splanchnicus",0.00987551318558581,0.00504041779258266,0.00439021881730782,0.00308520783081842
"Oscillospira_plautii",0.000427106145238322,0.00013130887302432,0.000302567518599531,0.000465162552879827
