"OTU","log2FC","lfcSE","Pvalues","FDR"
"OTU790|NN=Barnesiella_intestinihominis_AB370251|D=84_6",7.9284,1.1799,1.8254e-11,6.7359e-09
"OTU916|NN=Eubacterium_siraeum_EUBRRDV|D=93_2",-6.945,1.1037,3.1227e-10,5.7614e-08
"Paraprevotella_clara",6.3072,1.0683,3.5462e-09,4.3619e-07
"Streptococcus_1",3.625,0.7246,5.6515e-07,5.2135e-05
"OTU293|NN=Clostridium_glycyrrhizinilyticum_AB233029|D=91_2",-4.7042,0.95535,8.4766e-07,5.7054e-05
"OTU1482|NN=Veillonella_atypica_X84007|D=96_9",4.2254,0.86214,9.5303e-07,5.7054e-05
"Paraprevotella_clara_1",6.0323,1.2371,1.0823e-06,5.7054e-05
"Shigella_sonnei",3.5989,0.81633,1.0402e-05,0.00047979
"Lachnoclostridium_1",-2.9426,0.69001,2.0024e-05,0.000821
"Streptococcus_infantis",2.7627,0.68638,5.6958e-05,0.0021017
"OTU1028|NN=Ruminococcus_gnavus_JN713312|D=95_6",3.4897,0.90083,0.00010712,0.0035932
"OTU1731|NN=Roseburia_intestinalis_AB661435|D=97",-2.4103,0.63587,0.0001503,0.004132
"OTU260|NN=Clostridium_clostridioforme_AY169422|D=94_1",-3.0536,0.8066,0.00015323,0.004132
"Akkermansia_muciniphila",3.5202,0.93125,0.00015677,0.004132
"OTU1087|NN=Blautia_glucerasea_AB588023|D=93",-3.293,0.89356,0.00022849,0.0056208
"OTU407|NN=Soleaferrea_massiliensis_JX101688|D=87_4",-3.7803,1.036,0.00026338,0.0060742
"Bacteroides_caccae",2.9278,0.81947,0.00035309,0.0073913
"Lachnospiraceae",-2.3883,0.66947,0.00036055,0.0073913
"OTU661|NN=Blautia_wexlerae_EF036467|D=94_9",-2.2774,0.66287,0.00059107,0.010537
"OTU957|NN=Anoxystipes_fissicatena_NR_104800_1|D=93_2",-3.7725,1.099,0.00059738,0.010537
"OTU1413|NN=Mesorhizobium_loti_RLU50164|D=82_1",-4.5458,1.3246,0.00059967,0.010537
"Eubacterium_1",-2.183,0.66122,0.00096193,0.016134
"Anaerotruncus_colihominis",3.0171,0.93807,0.0012989,0.020838
"unclassified_19",-3.3979,1.0997,0.002002,0.03078
"Lachnospiraceae_9",-2.5529,0.84031,0.002381,0.035144
"OTU1196|NN=Christensenella_minuta_AB490809|D=86_5",-3.6898,1.2289,0.0026775,0.037957
"OTU1147|NN=Clostridium_glycolicum_AY007244|D=96_3",-2.9764,0.995,0.0027773,0.037957
"Clostridiaceae",-3.886,1.32,0.0032409,0.04271
"unclassified_3",-2.5198,0.8695,0.0037557,0.047789
