"","AIH049","AIH050","AIH051","AIH053","AIH054","AIH055","AIH056","AIH057","AIH060","AIH061","AIH062","AIH063","AIH064","AIH065","AIH066","AIH076","AIH081","AIH082","AIH083","AIH001","AIH002","AIH003","AIH005","AIH006","AIH007","AIH009","AIH018","AIH020","AIH021","AIH022","AIH023","AIH026","AIH027","AIH029","AIH030","AIH031","AIH032","AIH033","AIH035","AIH036","AIH037","AIH039","AIH040","AIH042","AIH043","AIH046","AIH047","AIH052","AIH058","AIH059","AIH068","AIH069","AIH070","AIH071","AIH072","AIH074","AIH077"
"Acinetobacter",0,2,6,14,6,4,1,30,0,0,7,4,2,5,2,5,0,5,0,14,6,0,1,1,2,0,2,0,1,7,0,0,0,0,7,0,0,0,8,0,1,0,0,0,0,8,2,2,0,3,0,11,17,1,0,0,1
"Actinomyces",46,1,6,31,19,10,1,6,17,12,2,18,55,74,12,11,31,82,11,62,4,2,10,7,0,1,27,258,71,2,12,5,20,113,8,5,1,0,24,12,42,36,6,3,0,4,8,5,15,24,51,22,8,18,5,27,11
"Akkermansia",19,6615,1378,185,12890,31,60,2108,2084,561,2002,598,287,110,1197,6,0,3,1938,7,16,13,3903,9,16,1,120,1,8,15,25480,0,15,3,141,2,13,57140,1043,0,6,8,13,3921,0,8,4702,25440,3480,552,18,11800,6,1,1675,4,9123
"Alistipes",5808,15192,39387,14302,22894,27028,34217,15495,12498,1287,5501,15798,35469,17388,27582,2466,13145,301,2128,31821,11498,26276,15728,188,10,1230,4006,2,68,3334,7,5151,363,29,7450,39334,63,12419,15074,20139,3491,10249,289,15302,9035,4196,16109,10952,15281,9404,6463,21751,10782,41525,3423,606,12286
"Anaerofilum",3,4,0,26,0,0,1,19,7,9,1,3,0,41,0,0,0,0,2,1,16,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,1,0,0,1,0,0,0,3,5,3,0,4,18,0,0,2,0,9
"Anaerotruncus",0,2,82,0,3,8,0,0,3,0,4,2,0,2,1,1,18,1,1,0,20,0,10,0,0,2,1,0,0,0,0,0,13,0,0,0,0,38,1,0,0,8,1,3,0,4,117,23,0,3,0,0,0,0,0,3,0
"Atopobium",0,0,2,3,5,5,0,0,0,0,0,0,11,0,0,4,6,0,1,56,9,3,2,10,0,0,7,6,12,2,1,0,1,16,0,0,0,0,6,5,3,14,1,1,0,0,8,0,0,0,0,6,0,2,1,6,0
"Bacteroides",9829,30901,13280,9506,22609,24022,15016,4404,14669,12423,1502,27863,13566,9113,28150,90389,18452,8121,12883,14000,13482,14627,9320,135,30,441,29037,2122,48745,81572,25466,23111,5023,25371,3064,7745,26430,18660,2986,4788,8612,23416,182,29144,3185,2278,14481,5418,7478,11137,8280,14271,14564,20709,312,52355,6148
"Barnesiella",809,10531,1205,5669,2370,90,11228,217,17817,640,1968,1218,26514,9136,15843,168,4349,1253,427,8033,812,2973,11081,612,7,38,11,0,287,6,0,707,50,7,497,0,12,110,3298,6547,2,400,287,4038,4684,45,4849,6235,10644,5141,1099,243,2314,3,72,613,35
"Bifidobacterium",1754,7,121,327,428,2,28,407,161,291,111,32,186,366,343,2,114,12773,8665,105,4,26,90,70,10,156,13,32593,24,7710,6,4065,47,2915,1192,0,19,28,9,94,513,51,7,1838,443,57,143,369,191,26,229,207,917,267,6,53,274
"Bilophila",227,35,4,13,11,0,6,21,0,377,29,0,12,23,10,0,14,0,0,5,16,10,4,5,0,6,0,0,5,0,0,2,48,0,0,0,64,20,8,0,8,8,1,0,2,0,1,10,4,0,67,4,10,0,0,0,0
"Blautia",1348,100,131,335,99,22,204,150,111,648,151,765,154,49,660,7,142,2712,252,86,151,13,65,17,4,35,168,964,5622,16694,11,30,16,462,20,174,7,80,162,99,47,267,50,5085,42,49,44,76,67,160,480,224,147,139,41,2602,46
"Bradyrhizobium",0,0,0,6,0,3,0,0,0,0,0,30,0,0,0,4,2,0,0,4,0,9,0,1,0,1,4,0,12,5,0,0,4,0,5,0,3,1,0,3,5,4,0,2,1,2,0,0,0,2,0,0,2,0,0,1,0
"Brevundimonas",2,2,2,4,3,1,0,20,5,0,4,4,0,0,0,0,2,0,0,0,1,0,4,5,0,1,3,0,0,1,0,0,0,0,0,0,4,0,2,0,0,1,0,1,1,0,3,2,0,0,1,0,10,0,0,8,1
"Butyricimonas",1306,256,812,581,3319,0,649,0,1564,55,131,287,1081,310,0,4,548,0,504,6389,1283,492,0,238,0,140,5,0,2,0,0,177,61,0,2,0,0,1747,110,2682,0,0,39,94,934,88,579,906,141,185,971,1254,1080,1,58,152,0
"Candidatus_Soleaferrea",641,5,1,3,47,0,542,164,57,272,5,0,429,2,1,12,427,221,199,7,0,2,11,3,1,0,2,0,10,44,2,0,0,15,3977,0,1,48,0,0,0,3,1,61,2,128,11,28,178,74,1,63,0,169,61,0,79
"Christensenella",7,13,5,36,53,30,1666,32,8,10,25,21,65,43,0,0,126,53,44,95,127,5,31,6,0,48,0,0,0,1,0,627,0,0,1,31,0,2,34,21,0,0,7,43,52,169,55,34,82,6,23,772,45,16,6,0,59
"Clostridium",470,49,184,255,151,303,64,3184,106,268,3189,294,376,1096,173,5,477,625,679,689,55,325,186,434,1,10,24,115,2884,250,16,15,16,90,53,56,10,10,127,7,76,234,8,148,598,866,2206,625,415,30,187,72,289,247,8,261,209
"Collinsella",341,16,83,303,63,10,34,7,3,399,51,33,507,56,0,0,6,0,53,24,10,37,6,20,0,9,15,1648,1,6,0,113,218,674,69,0,0,1,54,1,0,28,1,4103,83,54,703,5,20,4,183,27,255,35,0,56,20
