""	"healthy"	"hepatopathy"
"Acinetobacter"	93	95
"Actinomyces"	445	929
"Akkermansia"	32072	148703
"Alistipes"	307886	385334
"Anaerofilum"	116	70
"Anaerotruncus"	128	247
"Atopobium"	37	178
"Bacteroides"	366698	578125
"Barnesiella"	111452	75792
"Bifidobacterium"	26118	54767
"Bilophila"	782	308
"Blautia"	8040	34446
"Bradyrhizobium"	45	71
"Brevundimonas"	49	49
"Butyricimonas"	11407	19810
"Candidatus_Soleaferrea"	3028	4982
"Christensenella"	2237	2398
"Clostridium"	11948	11852
"Collinsella"	1965	8483
"Coprococcus"	6522	7802
"Dehalobacterium"	224	211
"Dialister"	79287	231235
"Dorea"	6645	3987
"Eggerthella"	94	148
"Erysipelatoclostridium"	140	7042
"Eubacterium"	16289	18914
"Faecalibacterium"	14873	13247
"Fusicatenibacter"	5898	3115
"Fusobacterium"	20	2391
"Gemella"	38	153
"Gemmiger"	40771	22850
"Granulicatella"	374	1262
"Haemophilus"	1216	27899
"Holdemania"	136	88
"Intestinibacter"	21976	19754
"Intestinimonas"	871	988
"Kluyvera"	3068	3682
"Lachnoclostridium"	5075	6912
"Lactobacillus"	3617	7868
"Lactococcus"	353	460
"Massilia"	536	598
"Megasphaera"	13	6359
"Odoribacter"	16879	11689
"Oscillibacter"	64269	99113
"Oscillospira"	4195	8549
"Parabacteroides"	6430	11060
"Paraprevotella"	2863	5505
"Parasutterella"	19461	3930
"Pelomonas"	528	557
"Phascolarctobacterium"	40210	89594
"Phenylobacterium"	471	635
"Prevotella"	15310	354633
"Pseudomonas"	257	257
"Roseburia"	52432	46928
"Rothia"	73	236
"Ruminococcus"	76182	92453
"Shigella"	853	22414
"Sphingomonas"	8595	10646
"Staphylococcus"	90	106
"Streptococcus"	2082	34609
"Sutterella"	1785	13284
"Terrisporobacter"	8778	7697
"Turicibacter"	24109	23554
"Tyzzerella"	577	1608
"unclassified"	220830	328376
"Veillonella"	21621	249630
"NA"	41156	52092
