"OTU","log2FC","lfcSE","Pvalues","FDR"
"Streptococcus_1",5.5426,0.6828,4.7569e-16,7.5825e-14
"OTU516|NN=Prevotella_copri_AB064923|D=96_6",6.7497,0.83176,4.8606e-16,7.5825e-14
"OTU1482|NN=Veillonella_atypica_X84007|D=96_9",5.308,0.73443,4.9221e-13,5.1189e-11
"OTU1028|NN=Ruminococcus_gnavus_JN713312|D=95_6",6.5984,0.9628,7.2111e-12,5.6247e-10
"Haemophilus_parainfluenzae",5.0468,0.78573,1.3357e-10,8.335e-09
"Streptococcus_infantis",3.7708,0.59309,2.0456e-10,1.0637e-08
"OTU506|NN=Christensenella_minuta_AB490809|D=83_8",-6.3469,1.0235,5.5963e-10,2.4944e-08
"Dialister_pneumosintes",7.6085,1.2571,1.4269e-09,5.5649e-08
"Bacteroidales_5",-6.1586,1.0457,3.8687e-09,1.3411e-07
"OTU1337|NN=Desulfovibrio_desulfuricans_DVURRDA|D=89_2",-5.8996,1.0147,6.0904e-09,1.9002e-07
"Bacteroides_1",7.1042,1.2412,1.0432e-08,2.959e-07
"Streptococcus",3.6265,0.64428,1.8159e-08,4.4538e-07
"Bacteroides_3",-5.9335,1.0548,1.8557e-08,4.4538e-07
"Streptococcus_anginosus",5.1006,0.92452,3.4487e-08,7.6858e-07
"Firmicutes_11",-5.7325,1.073,9.163e-08,1.8993e-06
"Shigella_sonnei",4.7485,0.89065,9.7402e-08,1.8993e-06
"Parabacteroides_goldsteinii",-4.9609,0.95034,1.7882e-07,3.2819e-06
"Clostridiales_23",-5.7497,1.1066,2.0402e-07,3.5363e-06
"Megasphaera_1",5.8565,1.2056,1.1874e-06,1.9498e-05
"Lachnospiraceae_7",-4.6287,0.97314,1.9704e-06,2.8831e-05
"OTU175|NN=Roseburia_hominis_AB661434|D=94_3",-4.082,0.85843,1.9821e-06,2.8831e-05
"OTU1339|NN=Clostridium_clariflavum_NR_102987_1|D=76_8",-5.3154,1.119,2.0329e-06,2.8831e-05
"OTU383|NN=Clostridium_populeti_X71853|D=91_5",-3.8625,0.88357,1.2341e-05,0.00016741
"Prevotella_3",5.7528,1.3304,1.5315e-05,0.00018938
"Bifidobacterium",2.9569,0.6852,1.593e-05,0.00018938
"OTU962|NN=Oscillibacter_valericigenes_AB238598|D=89_7",-5.6731,1.3147,1.5941e-05,0.00018938
"Megasphaera",5.5281,1.2829,1.6389e-05,0.00018938
"OTU252|NN=Rothia_aeria_AB753461|D=96_6",3.3618,0.78602,1.8944e-05,0.00020458
"unclassified_39",-4.0677,0.95126,1.9016e-05,0.00020458
"Pasteurellaceae",3.7882,0.89155,2.1469e-05,0.00021943
"Oscillospira_4",-4.4145,1.0398,2.1803e-05,0.00021943
"OTU407|NN=Soleaferrea_massiliensis_JX101688|D=87_4",-4.2296,0.99985,2.3346e-05,0.00022762
"Clostridiales_51",-3.8836,0.94215,3.7542e-05,0.00035226
"OTU1335|NN=Oscillibacter_valericigenes_AB238598|D=95_6",-2.8597,0.69462,3.8387e-05,0.00035226
"Fusobacterium",4.3752,1.072,4.475e-05,0.00039892
"OTU84|NN=Robinsoniella_peoriensis_AF445258|D=93_1",-3.1013,0.78317,7.4995e-05,0.00064996
"OTU1709|NN=Desulfitobacterium_frappieri_DFU40078|D=85_6",-4.5843,1.1866,0.00011187,0.00094338
"Bacteria_5",-3.8823,1.0079,0.00011728,0.00096291
"Phascolarctobacterium_succinatutens",4.6157,1.226,0.00016673,0.0013338
"unclassified_4",-3.3623,0.91311,0.00023115,0.001803
"Lachnospiraceae",-2.1908,0.60929,0.00032356,0.0024622
"Prevotella_1",4.0705,1.1421,0.0003651,0.0027122
"Veillonella_rogosae",3.0415,0.86031,0.00040718,0.0029545
"Lachnospiraceae_43",-3.6235,1.0301,0.00043551,0.0030881
"OTU869|NN=Papillibacter_cinnamivorans_AF167711|D=90_2",-3.7399,1.0872,0.00058178,0.0039863
"OTU1033|NN=Ruminococcus_bromii_DQ882649|D=88",-2.7471,0.79923,0.00058772,0.0039863
"Bacteroides_8",3.1521,0.94306,0.0008304,0.0055125
"Ruminococcus_callidus",-3.5144,1.0574,0.00088889,0.0057778
"unclassified_38",-3.1859,0.96272,0.00093521,0.0059548
"Barnesiella_10",-3.7212,1.1293,0.0009834,0.0061364
"Clostridiales_20",-3.092,0.96617,0.0013733,0.0084012
"Barnesiella_intestinihominis_1",-2.7046,0.87884,0.0020879,0.012528
"Turicibacter_sanguinis",-2.5582,0.84207,0.002382,0.014022
"OTU790|NN=Barnesiella_intestinihominis_AB370251|D=84_6",3.1748,1.0621,0.0027975,0.016163
"OTU555|NN=Christensenella_minuta_AB490809|D=88_7_1",-3.8639,1.3085,0.0031479,0.017857
"Lachnoclostridium_1",-1.9722,0.67409,0.0034371,0.018915
"Paraprevotella_clara",3.4184,1.1691,0.0034556,0.018915
"OTU1683|NN=Ruminococcus_bromii_DQ882649|D=90",-3.0011,1.0328,0.0036622,0.0197
"OTU311|NN=Prevotella_copri_AB064923|D=90_1",3.5038,1.2142,0.0039069,0.02066
"Granulicatella_adiacens",1.8393,0.64199,0.0041698,0.021683
"unclassified_3",-2.3095,0.80873,0.0042944,0.021965
"Lachnospiraceae_12",-3.0487,1.097,0.0054513,0.027373
