"","Pvalues","FDR"
"Aggregatibacter",0.00065387,0.02597
"Gemmiger",0.0009638,0.02597
"Ruminococcus",0.001113,0.02597
"Paraprevotella",0.0018866,0.028727
"Prevotella",0.0020519,0.028727
"Fusobacterium",0.0067248,0.078456
"Bilophila",0.010931,0.10931
"Fusicatenibacter",0.024148,0.2113
"Veillonella",0.030302,0.23569
"Gemella",0.035316,0.24593
"Streptococcus",0.038646,0.24593
"Holdemania",0.042833,0.24986
"Coprococcus",0.072579,0.39081
"Kluyvera",0.087485,0.43742
"Lachnoclostridium",0.10707,0.49383
"Atopobium",0.11288,0.49383
"Haemophilus",0.1405,0.55595
"Eggerthella",0.14857,0.55595
"Parasutterella",0.15116,0.55595
"unclassified",0.15884,0.55595
"Barnesiella",0.18519,0.6173
"Methanobrevibacter",0.1964,0.62489
"Turicibacter",0.2502,0.73673
"Tyzzerella",0.25653,0.73673
"Eubacterium",0.26936,0.73673
"Bacteroides",0.27364,0.73673
"Bradyrhizobium",0.29825,0.77325
"Lactobacillus",0.32804,0.82009
"Anaerofilum",0.34443,0.83138
"Candidatus_Soleaferrea",0.38753,0.87361
"Lactococcus",0.38778,0.87361
"Christensenella",0.44112,0.87361
"Akkermansia",0.44381,0.87361
"Dorea",0.44711,0.87361
"Staphylococcus",0.47937,0.87361
"Butyricimonas",0.49025,0.87361
"Actinomyces",0.50118,0.87361
"Pelomonas",0.50139,0.87361
"Alistipes",0.50816,0.87361
"Oscillospira",0.53207,0.87361
"Erysipelatoclostridium",0.53661,0.87361
"Brevundimonas",0.54636,0.87361
"Dehalobacterium",0.55269,0.87361
"Oxalobacter",0.55538,0.87361
"Massilia",0.58175,0.87361
"Intestinimonas",0.59375,0.87361
"Faecalibacterium",0.60953,0.87361
"Roseburia",0.61457,0.87361
"Parabacteroides",0.62262,0.87361
"Clostridium",0.62428,0.87361
"Collinsella",0.64516,0.87361
"Dialister",0.65838,0.87361
"Shigella",0.66234,0.87361
"Blautia",0.67471,0.87361
"Anaerotruncus",0.69367,0.87361
"Anaerofustis",0.69889,0.87361
"Granulicatella",0.75734,0.89001
"Phascolarctobacterium",0.76251,0.89001
"Intestinibacter",0.7695,0.89001
"Not_Assigned",0.77232,0.89001
"Rothia",0.7985,0.89001
"Pseudomonas",0.80707,0.89001
"Acinetobacter",0.81024,0.89001
"Oscillibacter",0.81373,0.89001
"Phenylobacterium",0.83089,0.8948
"Bifidobacterium",0.89138,0.9454
"Terrisporobacter",0.94041,0.98251
"Sutterella",0.98148,0.98581
"Odoribacter",0.98449,0.98581
"Sphingomonas",0.98581,0.98581
