logFC	AveExpr	t	P.Value	adj.P.Val	B	star
g__Veillonella	2.06507998195722	-7.74136257402711	3.77787495855652	0.000529988984470512	0.0153696805496449	-0.291923131872231	 *
g__Prevotella	1.94288988519916	-Inf	3.32186511375914	0.00198767523498995	0.0288212909073543	-1.49266507769391	 *
g__Streptococcus	0.972224503689737	-Inf	2.44073523275921	0.0194412311713779	0.18793190132332	-3.53130115808742	
g__Ruminococcus	-0.766861490193591	-4.79853131057136	-2.29132750309884	0.0274435860603618	0.198965998937623	-3.84192800523295	
g__Coprococcus	-0.603441182342435	-6.38207347322121	-2.14289553226039	0.0384340769078611	0.222917646065594	-4.12988606840055	
g__	-0.405009415247861	-2.13243766424898	-1.81565181147536	0.0771366444264927	0.366392992759734	-4.71009443449268	
g__Dialister	0.962234401147559	-Inf	1.74868892227214	0.088439687907522	0.366392992759734	-4.80875224592855	
g__Blautia	-0.470124259720312	-6.15491312039928	-1.64445137426061	0.108140408923113	0.392008982346285	-4.98160248172346	
g__Butyricimonas	0.789516014310669	-Inf	1.50480909128334	0.142209143875232	0.458229463597971	-5.08339565994536	
g__Sphingomonas	0.407969968382708	-Inf	1.31322777647699	0.197000387122958	0.537320958707394	-5.42339837297621	
g__Anaerostipes	-0.447071278184039	-Inf	-1.24315192429245	0.222339707051335	0.537320958707394	-5.43918474276027	
g__Faecalibacterium	-0.365698360612469	-4.42179025165687	-1.24334258045471	0.221181949714033	0.537320958707394	-5.52428575443584	
g__Parabacteroides	-0.3862360474313	-Inf	-1.12562988925031	0.267789974664464	0.554707804662103	-5.61733994900122	
g__Roseburia	-0.473668270809439	-5.47266258710226	-1.12521149117077	0.267393174487062	0.554707804662103	-5.65778985986576	
g__Akkermansia	0.437361361994042	-Inf	0.820823469129009	0.41765376496414	0.712468187291768	-5.84400690477962	
g__Dorea	0.300803197708599	-Inf	0.875545729595482	0.386939922558431	0.712468187291768	-5.86326251721507	
g__[Ruminococcus]	-0.252429403618187	-6.65558040217944	-0.82400181882537	0.41496149095016	0.712468187291768	-5.94108881548731	
g__Phascolarctobacterium	0.296508444046217	-Inf	0.417370480369132	0.679719087939167	0.874531152047484	-5.99048345294358	
g__Odoribacter	-0.174423029214307	-Inf	-0.676607235374798	0.502873989378025	0.810185871775706	-6.02387750919645	
g__Turicibacter	-0.334814222078739	-Inf	-0.539609630247305	0.592992646852077	0.857899087954691	-6.04096770182892	
g__Alistipes	0.226814779076573	-Inf	0.590702031169462	0.558320377240831	0.852173207367583	-6.07362889385971	
g__Lactobacillus	0.243001341141632	-Inf	0.49853035565556	0.621237270587879	0.857899087954691	-6.08434612601834	
g__Lachnospira	0.123508154108794	-Inf	0.36016414424284	0.720777444283612	0.874531152047484	-6.17417986474517	
g__Oscillospira	-0.0800797025043157	-4.22750389259877	-0.356018631446221	0.723749918935849	0.874531152047484	-6.21155040154563	
g__Bifidobacterium	0.123602431908217	-Inf	0.245621042982543	0.807336403243157	0.907995495760883	-6.21555934810851	
g__Sutterella	0.016235709813482	-Inf	0.0532604198156876	0.957811673155014	0.961875767695521	-6.2439711208142	
g__SMB53	-0.0872472127092257	-6.92301459023524	-0.236786262581097	0.814064927233895	0.907995495760883	-6.24645319189968	
g__Clostridium	0.0121447698543708	-Inf	0.0481168224303731	0.961875767695521	0.961875767695521	-6.25589477505601	
g__Bacteroides	0.0329161448188011	-3.03040747335645	0.103976926706139	0.917721812406115	0.961875767695521	-6.26883545336785	
